;语言文件格式为: 名称|中文|英文，竖线分割，逗号与分号为注释，///为换行，空行自动忽略
lang_mmo_log_help3|2、通过串口设置要将CFG接地，而通过网络不能接|2. When use COM port you must connect CFG to GND, while use Ethernet you shoule not connect
lang_mmo_log_help4|3、鼠标悬停有提示，您还可以通过以下方式寻求帮助|3.MouseOver display hints
lang_mmo_log_help5|技术支持：0531-88822739 www.usr.cn|
lang_mmo_log_help6|企业QQ:800025565 邮箱：tec@usr.cn|Any question, Email to tec@usr.cn
lang_Ts_UdpBroadcast|【UDP广播】|【UDP Broadcast】
lang_Ts_UdpSend|【UDP发送】|【UDP Send】
lang_Ts_UdpReceive|【UDP接收】|【UDP Receive】
lang_Ts_ComReceive|【串口接收】|【COM Receive】
lang_Ts_ComSend|【串口发送】|【COM Send】
lang_Ts_Doing|操作中，请稍后...|Operating, please wait a moment...
lang_Ts_NoSelected|没有选中要操作的模块，请先搜索到设备，选中一个设备再操作|No selected device, please search and choose one device first.
lang_Ts_LocalIpF5_1|检测到本机的可用IP如下：|Available IP in the machine is as follows:
lang_Ts_LocalIpF5_2|点击【通过网络搜索】，物理上与之在同一个局域网内（模块的IP可以和计算机的IP不在同一个网段）的模块将作出回应.|Click 【Search in LAN】, module in the same local will respond.
lang_Ts_LocalIpF5_3|没有检测到可用IP，无法通过网络操作|No available IP，Operate via LAN is unable.
lang_Ts_UdpSendFailure|UDP发送失败,可能是本地IP发生了变化，请点击菜单【搜索】>【刷新本机IP】.|UDP send Failure，May be the local IP has changed, please click on the menu 【Search】>【Refresh Local IP】.
lang_Ts_ParamHasShew|设备的当前配置信息已经更新到左侧的数据框。|Parameters has updated to left form.
lang_Ts_ParamHasShew_Com|修改参数后，点【通过串口设置】。|After change Param,click 【Setup via COM】.
lang_Ts_ParamHasShew_Net|修改参数后，点【设置选中项参数】。|After change Param,click 【Set selected item via LAN】.
lang_Ts_ParamDealFailure|参数处理失败，请重试|Param Failure，Please try again
lang_Ts_DidNotSearch|没搜到模块么？请排查以下情况: ①将CFG引脚悬空或拉高，不能接地。  ②模块供电，连到计算机所在的局域网内，或通过网线直连电脑（交叉直连网线均可）|did not search module? Please check:①Leave CFG pin should be free.   ②power on module and use network cable to connect it to your PC or in same LAN，both accross or straight cable are ok
lang_Ts_NetSetOk1|设备(MAC：|The param of Device which MAC is 
lang_Ts_NetSetOk2|)参数设置成功,稍后刷新重新搜索模块|set OK,You can search for new setting later.
lang_Ts_ComSetOk|设置成功|setup success
lang_Ts_ComSendFailure|串口发送失败，请重试|Serial Send Failure，please try again
lang_Ts_ComRcvTimeOut|从串口接收数据超时，操作失败，请检查连接是否正确，模块是否已经进入配置模式，选择的COM口号是否正确，点击“通过串口操作”旁边的问号获取更多信息。|Time out when wait COM port answer, please check cable, CFG jumper, COM port, or click the question mark near operation Through the serial port for more information.
lang_DataHeadOrChkErr|包头或校验错误|Packet Header error or check sum is not correct
lang_ComIsNo|串口不存在或被占用|Serial is Occupied
lang_ComIsOpen|串口已打开|Serial is Open
lang_ComIsClose|串口已关闭|Serial is Close
lang_About_Title|关于|About
lang_About_Version|版本：|Version:
lang_About_OK|确 认|OK
lang_About_SoftName|名称：USR-TCP232-T24|Name:  USR-TCP232-T24
lang_About_Description|说明：本程序由济南有人物联网技术有限公司设计提供，用于USR-TCP232 T24系列(-T/-24/-2/-D/-S/-ES1/EVB)产品设置，可以通过串口或者网络对系统产品进行配置，本软件使用免费。|Instruction:  This software is design by Jinan usr IOT Technology Co., Ltd.It is used for USR-TCP232 T24 Series (-T/-24/-2/-D/-S/-ES1/EVB) config.
lang_About_Contact|联系我们：|Contact Us:
lang_About_Website|http://www.usr.cn|http://www.usriot.com
lang_About_Tel|0531-88822739|0531-88822739
lang_About_Email|tec@usr.cn|tec@usr.cn
